ttmt,rep,Count.Y0,Count.Y24,Count.R0,Count.R24,RF_w,RF_r,strain,reference,strain_label,reference_label
16F,6,2675,2596,2059,1952,1.00513826106857,0.0233883585486252,SBW25.dTomato,SBW25.GmR pQBR57d0059.GFP,red,yellow
16F,4,1667,2563,1626,2045,1.04155142249527,0.200878065244131,SBW25.dTomato,SBW25.GmR pQBR57d0059.GFP,red,yellow
16F,5,2552,2530,2197,2122,1.00570529551195,0.0260756904675672,SBW25.dTomato,SBW25.GmR pQBR57d0059.GFP,red,yellow
16F,2,1493,2434,1518,2209,1.02281024350708,0.113602230543741,SBW25.dTomato,SBW25.GmR pQBR57d0059.GFP,red,yellow
4F,2,1469,2065,1795,2580,0.995524104037159,-0.0222360477720276,SBW25.dTomato,SBW25.YFP,red,yellow
4F,4,1488,2077,1770,2500,0.997612438888484,-0.0118195768053431,SBW25.dTomato,SBW25.YFP,red,yellow
4F,8,2085,2328,2616,2330,1.05034508896312,0.22601884063577,SBW25.dTomato,SBW25.YFP,red,yellow
4F,7,2069,2153,2646,2510,1.02033280322687,0.0925631321678919,SBW25.dTomato,SBW25.YFP,red,yellow
4F,3,1436,2124,1846,2460,1.02131905181102,0.104299418890049,SBW25.dTomato,SBW25.YFP,red,yellow
4F,1,1678,1851,3136,2812,1.04607876204293,0.207175554086089,SBW25.dTomato,SBW25.YFP,red,yellow
4F,5,2130,2068,2705,2552,1.00630852577027,0.0286845237407505,SBW25.dTomato,SBW25.YFP,red,yellow
4F,6,2493,2246,2279,2366,0.96945700277685,-0.141799963517816,SBW25.dTomato,SBW25.YFP,red,yellow
