"Treatment" "Replicate" "Transfer" "Total_count" "Fraction_Yellow" "Fraction_Red" "Fraction_Orange" "Fraction_Blue" "Experiment" "Ratio"
"CM" "10" 3 4094 0.71494870542257 0.196873473375672 0.0390815828041036 0.0490962383976551 1 NA
"F4" "3" 3 5138 0.957571039314909 0.00720124562086415 0.00155702608018684 0.0336706889840405 1 NA
"C" "6" 3 6179 0.332254410098721 0.217996439553326 0.0181259103414792 0.431623240006474 1 NA
"CM" "6" 3 4863 0.697717458359038 0.215916101172116 0.0417437795599424 0.044622660908904 1 NA
"C" "7" 3 5115 0.358162267839687 0.233040078201369 0.0238514173998045 0.38494623655914 1 NA
"CM" "7" 3 5423 0.700719159137009 0.221279734464319 0.0396459524248571 0.0383551539738152 1 NA
"C" "8" 3 4496 0.368772241992883 0.225978647686833 0.0244661921708185 0.380782918149466 1 NA
"CM" "8" 3 4398 0.704638472032742 0.213278763074125 0.0345611641655298 0.0475216007276035 1 NA
"C" "9" 3 4430 0.215801354401806 0.231151241534989 0.0169300225733634 0.536117381489842 1 NA
"DM" "9" 3 2923 0.589462880602121 0.299692097160452 0.0502907971262402 0.0605542251111871 1 NA
"D" "10" 3 4460 0.577354260089686 0.313004484304933 0.0616591928251121 0.0479820627802691 1 NA
"DM" "10" 3 3124 0.703905249679898 0.217349551856594 0.0371318822023047 0.0416133162612036 1 NA
"D" "6" 3 6707 0.54584762188758 0.355896824213508 0.0541225585209483 0.0441329953779633 1 NA
"DM" "6" 3 4603 0.688898544427547 0.227025852704758 0.0362806865087986 0.0477949163588964 1 NA
"D" "7" 3 3877 0.562290430745422 0.323445963373743 0.05339179778179 0.0608718080990457 1 NA
"DM" "7" 3 4309 0.715711301926201 0.206776514272453 0.0348108609886284 0.0427013228127176 1 NA
"D" "8" 3 3961 0.573844988639233 0.330472103004292 0.0482201464276698 0.0474627619288059 1 NA
"DM" "8" 3 3755 0.682556591211718 0.240213049267643 0.0276964047936085 0.0495339547270306 1 NA
"D" "9" 3 3257 0.47344181762358 0.42646607307338 0.0383788762665029 0.0617132330365367 1 NA
"AM" "4" 4 7566 0.194686756542427 0.743325403119218 0.0384615384615385 0.0235263018768173 1 NA
"A" "5" 4 6052 0.259087904824851 0.314606741573034 0.0160277594183741 0.410277594183741 1 NA
"AM" "5" 4 5720 0.207342657342657 0.731818181818182 0.031993006993007 0.0288461538461538 1 NA
"A" "1" 4 6763 0.158065947064912 0.300754103208635 0.00621026171817241 0.53496968800828 1 NA
"AM" "1" 4 4624 0.188581314878893 0.769031141868512 0.018598615916955 0.0237889273356401 1 NA
"A" "2" 4 5723 0.22680412371134 0.392451511445046 0.0138039489778088 0.366940415865805 1 NA
"AM" "2" 4 4734 0.197084917617237 0.754119138149556 0.0242923531896916 0.024503591043515 1 NA
"A" "3" 4 4640 0.195043103448276 0.268318965517241 0.00883620689655172 0.527801724137931 1 NA
"AM" "3" 4 4976 0.208802250803859 0.733721864951768 0.0239147909967846 0.0335610932475884 1 NA
"A" "4" 4 7543 0.210128596049317 0.31247514251624 0.0141853373989129 0.46321092403553 1 NA
"F1" "1" 4 6702 0.988361683079678 0.000149209191286183 0.000149209191286183 0.0113398985377499 1 NA
"BM" "4" 4 5612 0.214896650035638 0.727904490377762 0.0384889522451889 0.0187099073414113 1 NA
"B" "5" 4 5955 0.378505457598657 0.543912678421494 0.0503778337531486 0.0272040302267003 1 NA
"BM" "5" 4 5642 0.249911378943637 0.695320808224034 0.0308401276143212 0.0239276852180078 1 NA
"F2" "1" 4 5664 0.00317796610169492 0.979696327683616 0.000353107344632768 0.0167725988700565 1 NA
"B" "1" 4 5942 0.325816223493773 0.6098956580276 0.0358465163244699 0.0284416021541569 1 NA
"BM" "1" 4 6595 0.190144048521607 0.763002274450341 0.024412433661865 0.0224412433661865 1 NA
"B" "2" 4 5874 0.375553285665645 0.564521620701396 0.0350697991147429 0.0248552945182159 1 NA
"BM" "2" 4 5131 0.213993373611382 0.745663613330735 0.0208536347690509 0.0194893782888326 1 NA
"B" "3" 4 4768 0.376468120805369 0.554530201342282 0.0350251677852349 0.0339765100671141 1 NA
"BM" "3" 4 4710 0.236305732484076 0.708917197452229 0.0292993630573248 0.0254777070063694 1 NA
"B" "4" 4 5947 0.366235076509164 0.556583151168656 0.0452328905330419 0.0319488817891374 1 NA
"F3" "1" 4 5095 0.0145240431795878 0.945632973503435 0.00333660451422964 0.0365063788027478 1 NA
"CM" "4" 4 6078 0.723593287265548 0.210266535044422 0.0322474498190194 0.0338927278710102 1 NA
"C" "5" 4 6289 0.368262044840197 0.254730481793608 0.0265543011607569 0.350453172205438 1 NA
"CM" "5" 4 5098 0.728520988622989 0.199097685366811 0.0386426049431149 0.0337387210670851 1 NA
"F4" "1" 4 7573 0.975174963686782 0.00290505744090849 0.00118843258946256 0.020731546282847 1 NA
"C" "1" 4 7472 0.400428265524625 0.294967880085653 0.0302462526766595 0.274357601713062 1 NA
"CM" "1" 4 7594 0.758361864629971 0.146826441927838 0.0197524361337898 0.0750592573084014 1 NA
"C" "2" 4 5797 0.41038468173193 0.240296705192341 0.0179403139554942 0.331378299120235 1 NA
"CM" "2" 4 6837 0.738335527278046 0.194090975574082 0.0302764370337867 0.0372970601140851 1 NA
"C" "3" 4 7072 0.337669683257919 0.269372171945701 0.0193721719457014 0.373585972850679 1 NA
"CM" "3" 4 6181 0.694709593916842 0.237663808445235 0.029121501375182 0.0385050962627407 1 NA
"C" "4" 4 8173 0.385904808515845 0.302704025449651 0.0298543986296342 0.28153676740487 1 NA
"F1" "2" 4 5901 0.986442975766819 0.000508388408744281 0.00016946280291476 0.0128791730215218 1 NA
"DM" "4" 4 4517 0.725260128403808 0.212973212309055 0.0287801638255479 0.0329864954615895 1 NA
"D" "5" 4 4971 0.577750955542144 0.346610339971837 0.0424461878897606 0.0331925165962583 1 NA
"DM" "5" 4 5304 0.721907993966817 0.218514328808446 0.0292232277526395 0.0303544494720965 1 NA
"F2" "2" 4 5643 0.00336700336700337 0.97979797979798 0.00124047492468545 0.0155945419103314 1 NA
"D" "1" 4 7020 0.573789173789174 0.335470085470085 0.0461538461538462 0.0445868945868946 1 NA
"DM" "1" 4 6007 0.749625436990178 0.154819377393041 0.0166472448809722 0.0789079407358082 1 NA
"D" "2" 4 5622 0.588046958377802 0.313411597296336 0.0277481323372465 0.0707933119886161 1 NA
"DM" "2" 4 5948 0.754034969737727 0.176698049764627 0.0245460659045057 0.0447209145931406 1 NA
"D" "3" 4 6454 0.535171986365045 0.384257824604896 0.0384257824604896 0.0421444065695693 1 NA
"DM" "3" 4 6038 0.696588274263001 0.234514739980126 0.0364359059291156 0.0324610798277575 1 NA
"D" "4" 4 7384 0.562973997833153 0.349268689057421 0.040899241603467 0.0468580715059588 1 NA
"F3" "2" 4 5518 0.0150416817687568 0.95487495469373 0.00326205146792316 0.0268213120695904 1 NA
"AM" "9" 4 3199 0.197249140356361 0.733041575492341 0.0393873085339169 0.0303219756173804 1 NA
"A" "10" 4 4322 0.19898195279963 0.336186950485886 0.037482646922721 0.427348449791763 1 NA
"AM" "10" 4 3541 0.172550127082745 0.753741880824626 0.0429257271957074 0.0307822648969218 1 NA
"F4" "2" 4 4203 0.970735189150607 0.00618605757792053 0.000951701165833928 0.0221270521056388 1 NA
"A" "6" 4 5515 0.187669990933817 0.295376246600181 0.014687216681777 0.502266545784225 1 NA
"AM" "6" 4 4332 0.192059095106187 0.760387811634349 0.0313942751615882 0.0161588180978763 1 NA
"A" "7" 4 5324 0.203418482344102 0.313298271975958 0.0219759579263712 0.461307287753569 1 NA
"AM" "7" 4 4474 0.200268216361198 0.727983907018328 0.0393383996423782 0.0324094769780957 1 NA
"A" "8" 4 4434 0.247180875056383 0.292286874154263 0.0227785295444294 0.437753721244926 1 NA
"AM" "8" 4 3515 0.246372688477952 0.684779516358464 0.0355618776671408 0.0332859174964438 1 NA
"A" "9" 4 4321 0.20967368664661 0.258504975700069 0.0187456607266836 0.513075676926637 1 NA
"F1" "3" 4 3951 0.945583396608454 0.0225259427992913 0.00329030625158188 0.0286003543406732 1 NA
"BM" "9" 4 2975 0.230588235294118 0.68436974789916 0.0484033613445378 0.0366386554621849 1 NA
"B" "10" 4 4264 0.301829268292683 0.592401500938086 0.075046904315197 0.0307223264540338 1 NA
"BM" "10" 4 3682 0.188212927756654 0.725149375339489 0.0570342205323194 0.0296034763715372 1 NA
"F2" "3" 4 3173 0.00787897888433659 0.96722344784116 0.0034667507091081 0.0214308225653955 1 NA
"B" "6" 4 4201 0.349678647940966 0.569626279457272 0.0485598666984051 0.0321352059033563 1 NA
"BM" "6" 4 5253 0.215495907100704 0.727203502760327 0.0365505425471159 0.0207500475918523 1 NA
"B" "7" 4 4054 0.34583127775037 0.575481006413419 0.0426739023186976 0.0360138135175136 1 NA
"BM" "7" 4 4246 0.188648139425342 0.740226095148375 0.0386245878473858 0.0325011775788978 1 NA
"B" "8" 4 4863 0.395846185482213 0.50853382685585 0.0600452395640551 0.035574748097882 1 NA
"BM" "8" 4 3780 0.269312169312169 0.656084656084656 0.0439153439153439 0.0306878306878307 1 NA
"B" "9" 4 3042 0.397764628533859 0.520710059171598 0.0427350427350427 0.0387902695595003 1 NA
"F3" "3" 4 4067 0.0127858372264568 0.95697074010327 0.00368822227686255 0.0265552003934104 1 NA
"CM" "9" 4 3550 0.614366197183099 0.277746478873239 0.0574647887323944 0.0504225352112676 1 NA
"C" "10" 4 4153 0.404286058271129 0.239826631350831 0.0276908259089815 0.328196484469059 1 NA
"CM" "10" 4 3253 0.729787888103289 0.181371042114971 0.0531816784506609 0.035659391331079 1 NA
"F4" "3" 4 4170 0.94916067146283 0.0119904076738609 0.00143884892086331 0.037410071942446 1 NA
"C" "6" 4 5988 0.383934535738143 0.235971943887776 0.0242150968603874 0.355878423513694 1 NA
"CM" "6" 4 5307 0.737704918032787 0.194271716600716 0.0386282268701715 0.0293951384963256 1 NA
"C" "7" 4 4625 0.385513513513514 0.268972972972973 0.0339459459459459 0.311567567567568 1 NA
"CM" "7" 4 4191 0.742304939155333 0.188499164877118 0.0329277022190408 0.0362681937485087 1 NA
"C" "8" 4 5250 0.425333333333333 0.259809523809524 0.0358095238095238 0.279047619047619 1 NA
"CM" "8" 4 4478 0.732469852612774 0.183787405091559 0.0482358195623046 0.0355069227333631 1 NA
"C" "9" 4 4201 0.260890264222804 0.262556534158534 0.0233277791002142 0.453225422518448 1 NA
"DM" "9" 4 3481 0.608158575122091 0.300775639184142 0.0488365412237863 0.0422292444699799 1 NA
"D" "10" 4 3660 0.6 0.312021857923497 0.0505464480874317 0.037431693989071 1 NA
"DM" "10" 4 3559 0.745996066310761 0.180949704973307 0.039055914582748 0.0339983141331835 1 NA
"D" "6" 4 4914 0.569190069190069 0.344118844118844 0.044973544973545 0.0417175417175417 1 NA
"DM" "6" 4 4865 0.736896197327852 0.197122302158273 0.03103802672148 0.0349434737923947 1 NA
"D" "7" 4 5160 0.604651162790698 0.319767441860465 0.0474806201550388 0.0281007751937985 1 NA
"DM" "7" 4 4602 0.737722729248153 0.188830943068231 0.0369404606692742 0.0365058670143416 1 NA
"D" "8" 4 3493 0.5785857429144 0.330375035785857 0.0501002004008016 0.0409390208989407 1 NA
"DM" "8" 4 3991 0.701578551741418 0.228514156852919 0.0370834377349035 0.0328238536707592 1 NA
"D" "9" 4 3177 0.45294302801385 0.438463959710419 0.0525653131885426 0.0560276990871892 1 NA
"AM" "4" 5 5046 0.147047166072136 0.80499405469679 0.0221957986523979 0.0257629805786762 1 NA
"A" "5" 5 5340 0.25749063670412 0.375655430711611 0.0254681647940075 0.341385767790262 1 NA
"AM" "5" 5 4457 0.16603096253085 0.788647072021539 0.0284945030289432 0.0168274624186673 1 NA
"A" "1" 5 5725 0.161397379912664 0.339563318777293 0.00768558951965066 0.491353711790393 1 NA
"AM" "1" 5 5173 0.157355499710033 0.81190798376184 0.0162381596752368 0.01449835685289 1 NA
"A" "2" 5 5133 0.228131696863433 0.453341126047146 0.0134424313267095 0.305084745762712 1 NA
"AM" "2" 5 5480 0.157664233576642 0.796897810218978 0.0187956204379562 0.0266423357664234 1 NA
"A" "3" 5 5841 0.210409176510871 0.325457969525766 0.0109570279061804 0.453175826057182 1 NA
"AM" "3" 5 4242 0.167138142385667 0.768033946251768 0.0242809995285243 0.0405469118340405 1 NA
"A" "4" 5 7159 0.2008660427434 0.339572566000838 0.0170414862410951 0.442519905014667 1 NA
"F1" "1" 5 6773 0.988336040159457 0 0 0.0116639598405433 1 NA
"BM" "4" 5 5098 0.164378187524519 0.784032954099647 0.0256963515103962 0.0258925068654374 1 NA
"B" "5" 5 5838 0.342754367934224 0.592840013703323 0.0469338814662556 0.0174717368961973 1 NA
"BM" "5" 5 1786 0.22060470324748 0.743561030235162 0.0218365061590146 0.0139977603583427 1 NA
"F2" "1" 5 5006 0.00459448661606073 0.97802636835797 0.00159808230123851 0.0157810627247303 1 NA
"B" "1" 5 5329 0.292550197035091 0.662788515668981 0.0302120472884218 0.0144492400075061 1 NA
"BM" "1" 5 4826 0.141939494405305 0.822420223787816 0.0140903439701616 0.0215499378367178 1 NA
"B" "2" 5 6559 0.359201097728312 0.576917212989785 0.0393352645220308 0.0245464247598719 1 NA
"BM" "2" 5 4678 0.166951688755879 0.788371098760154 0.0224454895254382 0.0222317229585293 1 NA
"B" "3" 5 6042 0.359318106587223 0.588050314465409 0.0329361138695796 0.0196954650777888 1 NA
"BM" "3" 5 4945 0.202022244691608 0.749241658240647 0.0289180990899899 0.0198179979777553 1 NA
"B" "4" 5 4814 0.331117573743249 0.601994183631076 0.0369754881595347 0.0299127544661404 1 NA
"F3" "1" 5 4776 0.00418760469011725 0.971943048576214 0.00125628140703518 0.0226130653266332 1 NA
"CM" "4" 5 4922 0.768183665176757 0.173913043478261 0.031084924827306 0.0268183665176757 1 NA
"C" "5" 5 6199 0.411840619454751 0.26213905468624 0.0280690433940958 0.297951282464914 1 NA
"CM" "5" 5 4121 0.7752972579471 0.172773598641107 0.0201407425382189 0.0317884008735744 1 NA
"F4" "1" 5 10193 0.975080937898558 0.000981065437064652 0.000686745805945256 0.0232512508584323 1 NA
"C" "1" 5 6073 0.469948954388276 0.281409517536638 0.0380372138975794 0.210604314177507 1 NA
"CM" "1" 5 7781 0.800796812749004 0.118493766868012 0.0176069913892816 0.0631024289937026 1 NA
"C" "2" 5 6481 0.457645425088721 0.270791544514735 0.0209844159851875 0.250578614411356 1 NA
"CM" "2" 5 7839 0.775609133818089 0.165072075519837 0.0262788620997576 0.0330399285623166 1 NA
"C" "3" 5 7856 0.376909368635438 0.276349287169043 0.022530549898167 0.324210794297352 1 NA
"CM" "3" 5 5802 0.747500861771803 0.192519820751465 0.0241296104791451 0.035849706997587 1 NA
"C" "4" 5 8694 0.399585921325052 0.317115251897861 0.0364619277662756 0.246836899010812 1 NA
"F1" "2" 5 7237 0.987425728893188 0 0.000138178803371563 0.0124360923034407 1 NA
"DM" "4" 5 6313 0.747505148107081 0.195469665769048 0.0293046095358783 0.027720576587993 1 NA
"D" "5" 5 5011 0.616443823588106 0.313310716423867 0.0383157054480144 0.031929754540012 1 NA
"DM" "5" 5 4146 0.767004341534009 0.177520501688374 0.0260492040520984 0.0294259527255186 1 NA
"F2" "2" 5 7955 0.0021370207416719 0.982023884349466 0.000754242614707731 0.0150848522941546 1 NA
"D" "1" 5 6168 0.619974059662776 0.30674448767834 0.049124513618677 0.0241569390402075 1 NA
"DM" "1" 5 7692 0.789131565262611 0.130655226209048 0.0185907436297452 0.0616224648985959 1 NA
"D" "2" 5 6930 0.627272727272727 0.274747474747475 0.032034632034632 0.0659451659451659 1 NA
"DM" "2" 5 6077 0.80302780977456 0.142669080138226 0.0202402501234162 0.0340628599637979 1 NA
"D" "3" 5 8362 0.570796460176991 0.348959579048075 0.0423343697679981 0.0379095910069361 1 NA
"DM" "3" 5 6508 0.736939151813153 0.193300553165335 0.0353411186232329 0.034419176398279 1 NA
"D" "4" 5 7403 0.575847629339457 0.338646494664325 0.0518708631635823 0.0336350128326354 1 NA
"F3" "2" 5 4090 0.00317848410757946 0.967970660146699 0.00122249388753056 0.0276283618581907 1 NA
"AM" "9" 5 3611 0.148435336471891 0.79230130157851 0.0307394073663805 0.0285239545832179 1 NA
"A" "10" 5 3295 0.197268588770865 0.406069802731411 0.0312594840667678 0.365402124430956 1 NA
"AM" "10" 5 3037 0.139940730984524 0.799143891998683 0.0296345077378992 0.0312808692788936 1 NA
"F4" "2" 5 4161 0.96226868541216 0.00552751742369623 0.00192261475606825 0.030281182408075 1 NA
"A" "6" 5 4748 0.18681550126369 0.333403538331929 0.016849199663016 0.462931760741365 1 NA
"AM" "6" 5 4478 0.150290308173292 0.801920500223314 0.0272443054935239 0.0205448861098705 1 NA
"A" "7" 5 5594 0.202002145155524 0.339292098677154 0.0194851626742939 0.439220593493028 1 NA
"AM" "7" 5 4373 0.145437914475189 0.787102675508804 0.0455065172650354 0.0219528927509719 1 NA
"A" "8" 5 4578 0.229139362166885 0.337920489296636 0.0351681957186544 0.397771952817824 1 NA
"AM" "8" 5 4243 0.200801319820881 0.732500589205751 0.0445439547489984 0.0221541362243695 1 NA
"A" "9" 5 3709 0.221892693448369 0.31706659476948 0.0196818549474252 0.441358856834726 1 NA
"F1" "3" 5 4867 0.958495993425108 0.0158208341894391 0.00287651530717074 0.0228066570782823 1 NA
"BM" "9" 5 3515 0.190611664295875 0.735704125177809 0.042674253200569 0.0310099573257468 1 NA
"B" "10" 5 4061 0.304851021915784 0.622014282196503 0.0401378970696873 0.0329967988180251 1 NA
"BM" "10" 5 3682 0.144486692015209 0.795763172189028 0.0298750678978816 0.0298750678978816 1 NA
"F2" "3" 5 4712 0.00551782682512733 0.971561969439728 0.00212224108658744 0.0207979626485569 1 NA
"B" "6" 5 5673 0.326811210999471 0.59633350960691 0.0579940066983959 0.018861272695223 1 NA
"BM" "6" 5 3850 0.177142857142857 0.764155844155844 0.0324675324675325 0.0262337662337662 1 NA
"B" "7" 5 4463 0.322652924042124 0.580103069684069 0.069011875420121 0.0282321308536859 1 NA
"BM" "7" 5 5544 0.142857142857143 0.786075036075036 0.0481601731601732 0.0229076479076479 1 NA
"B" "8" 5 4859 0.346984976332579 0.555258283597448 0.0710022638402964 0.0267544762296769 1 NA
"BM" "8" 5 5251 0.199390592268139 0.716244524852409 0.0622738525995049 0.0220910302799467 1 NA
"B" "9" 5 4471 0.369044956385596 0.533437709684634 0.0702303735182286 0.027286960411541 1 NA
"F3" "3" 5 5871 0.0054505195026401 0.961846363481519 0.00187361607903253 0.030829500936808 1 NA
"CM" "9" 5 3946 0.619361378611252 0.253167764825139 0.0813482007095793 0.0461226558540294 1 NA
"C" "10" 5 4678 0.43971782813168 0.240273621205643 0.0393330483112441 0.280675502351432 1 NA
"CM" "10" 5 3791 0.761012925349512 0.161698760221577 0.0435241361118438 0.0337641783170667 1 NA
"F4" "3" 5 5699 0.9619231444113 0.00719424460431655 0.000877346902965433 0.0300052640814178 1 NA
"C" "6" 5 5115 0.408406647116325 0.253763440860215 0.0334310850439883 0.304398826979472 1 NA
"CM" "6" 5 6511 0.778375057594839 0.150053755183536 0.0446935954538473 0.0268775917677776 1 NA
"C" "7" 5 5108 0.441072826938136 0.25920125293657 0.0411119812059514 0.258613938919342 1 NA
"CM" "7" 5 4442 0.760693381359748 0.159162539396668 0.0511031067086898 0.0290409725348942 1 NA
"C" "8" 5 5163 0.433081541739299 0.252372651559171 0.0639163277164439 0.250629478985086 1 NA
"CM" "8" 5 4183 0.772890270141047 0.158020559407124 0.0406406885010758 0.028448481950753 1 NA
"C" "9" 5 4026 0.273224043715847 0.30675608544461 0.0394932935916542 0.380526577247889 1 NA
"DM" "9" 5 4507 0.671843798535611 0.242733525626803 0.0548036387841136 0.0306190370534724 1 NA
"D" "10" 5 3619 0.619231831997789 0.280464216634429 0.0674219397623653 0.0328820116054159 1 NA
