"","well","replicate","cycle","value"
"1044","G6","j",84,1.248000026
"1045","G6","j",85,1.251700044
"1046","G6","j",86,1.259699941
"1047","G6","j",87,1.263800025
"1048","G6","j",88,1.275500059
"1049","G6","j",89,1.284399986
"1050","G6","j",90,1.303799987
"1051","G6","j",91,1.287799954
"1052","G6","j",92,1.289000034
"1053","G6","j",93,1.292600036
"1054","G6","j",94,1.293300033
"1055","G6","j",95,1.298900008
"1056","G6","j",96,1.325799942
"1057","G12","l",1,0.094099998
"1058","G12","l",2,0.089000002
"1059","G12","l",3,0.089000002
"1060","G12","l",4,0.090400003
"1061","G12","l",5,0.090400003
"1062","G12","l",6,0.091600001
"1063","G12","l",7,0.090400003
"1064","G12","l",8,0.093199998
"1065","G12","l",9,0.092900001
"1066","G12","l",10,0.091700003
"1067","G12","l",11,0.091899998
"1068","G12","l",12,0.091499999
"1069","G12","l",13,0.091600001
"1070","G12","l",14,0.091499999
"1071","G12","l",15,0.091300003
"1072","G12","l",16,0.092100002
"1073","G12","l",17,0.094400004
"1074","G12","l",18,0.099100001
"1075","G12","l",19,0.1021
"1076","G12","l",20,0.103299998
"1077","G12","l",21,0.108400002
"1078","G12","l",22,0.1096
"1079","G12","l",23,0.119400002
"1080","G12","l",24,0.124799997
"1081","G12","l",25,0.118500002
"1082","G12","l",26,0.122599997
"1083","G12","l",27,0.1241
"1084","G12","l",28,0.132799998
"1085","G12","l",29,0.142399997
"1086","G12","l",30,0.156399995
"1087","G12","l",31,0.175300002
"1088","G12","l",32,0.189600006
"1089","G12","l",33,0.336100012
"1090","G12","l",34,0.391799986
"1091","G12","l",35,0.382099986
"1092","G12","l",36,0.235499993
"1093","G12","l",37,0.280299991
"1094","G12","l",38,0.355100006
"1095","G12","l",39,0.430900007
"1096","G12","l",40,0.477800012
"1097","G12","l",41,0.51910001
"1098","G12","l",42,0.551699996
"1099","G12","l",43,0.582799971
"1100","G12","l",44,0.601199985
"1101","G12","l",45,0.630699992
"1102","G12","l",46,0.680000007
"1103","G12","l",47,0.699599981
"1104","G12","l",48,0.768599987
"1105","G12","l",49,0.754299998
"1106","G12","l",50,0.779200017
"1107","G12","l",51,0.799300015
"1108","G12","l",52,0.973100007
"1109","G12","l",53,1.049000025
"1110","G12","l",54,1.040099978
"1111","G12","l",55,1.070799947
"1112","G12","l",56,0.90109998
"1113","G12","l",57,0.926199973
"1114","G12","l",58,1.178200006
"1115","G12","l",59,0.962700009
"1116","G12","l",60,1.187299967
"1117","G12","l",61,1.007400036
"1118","G12","l",62,1.192899942
"1119","G12","l",63,1.258700013
"1120","G12","l",64,1.02820003
"1121","G12","l",65,1.240499973
"1122","G12","l",66,1.129999995
"1123","G12","l",67,1.111600041
"1124","G12","l",68,1.062700033
"1125","G12","l",69,1.075999975
"1126","G12","l",70,1.177299976
"1127","G12","l",71,1.102699995
"1128","G12","l",72,1.175600052
"1129","G12","l",73,1.127799988
"1130","G12","l",74,1.128100038
"1131","G12","l",75,1.125499964
"1132","G12","l",76,1.143300056
"1133","G12","l",77,1.208099961
"1134","G12","l",78,1.164399981
"1135","G12","l",79,1.152899981
"1136","G12","l",80,1.159800053
"1137","G12","l",81,1.168900013
"1138","G12","l",82,1.231999993
"1139","G12","l",83,1.176300049
"1140","G12","l",84,1.192100048
"1141","G12","l",85,1.266100049
"1142","G12","l",86,1.236899972
"1143","G12","l",87,1.301900029
"1144","G12","l",88,1.237100005
"1145","G12","l",89,1.214300036
"1146","G12","l",90,1.273100019
"1147","G12","l",91,1.222800016
"1148","G12","l",92,1.266600013
"1149","G12","l",93,1.238499999
"1150","G12","l",94,1.232499957
"1151","G12","l",95,1.261899948
"1152","G12","l",96,1.257699966
