"ttmt" "ID" "rep" "mercury" "Count.Y0" "Count.Y24" "Count.R0" "Count.R24" "RF_w" "RF_r" "RF_slope" "strain" "host" "host.label" "plasmid" "reference_host" "reference_host_label" "reference_plasmid" "reference"
"2A" "2A.H" 5 40 2287 787 2652 4902 1.47510063700555 1.68109715838768 -1.04480588267931 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 10 0 2387 1545 2378 4126 1.23645683189928 0.986062053387455 -0.945708208593918 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 3 0 2203 1594 2867 3690 1.13451378052499 0.575933758603385 -0.915477269146435 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 3 40 2203 961 2867 4331 1.32899230063651 1.24213321316331 -1.00403495764194 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 10 40 2387 1002 2378 4613 1.40958104385531 1.53065795100111 -1.01344410465352 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 4 40 2424 863 2694 4780 1.44960485677268 1.60617312462097 -1.01293945384427 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 8 40 2254 767 2792 5078 1.47520311536403 1.67613419161483 -1.00225210915199 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 5 0 2287 1516 2652 3914 1.19084657953267 0.800411424470733 -0.94638033066695 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 6 40 2340 747 2738 4859 1.49531704067217 1.71544595177644 -1.03084772016756 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 2 40 2372 974 2621 4181 1.36528616734854 1.35707198450824 -1.02200746055883 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 1 40 2339 997 2684 4330 1.35469895400368 1.3309873195273 -0.992029060654482 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 4 0 2424 1476 2694 4002 1.21704347804507 0.891850500202157 -0.966487697269302 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 9 0 2106 1391 2729 4181 1.20078803270789 0.841382711418704 -0.982452677765582 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 6 0 2340 1388 2738 4072 1.22513346401132 0.919193619666961 -0.939742906206558 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 7 40 2371 877 2624 4984 1.45313477840989 1.63609300409653 -1.04176652867863 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A" 3 0 2180 1311 2717 3927 1.21404933736016 0.876882117171097 -0.910619278955265 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A" 2 0 2646 1522 2271 3793 1.2630607845678 1.06596080583661 -0.937758236801199 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A" 1 0 2383 1646 2569 3646 1.17003522387259 0.720126053990452 -0.921250711695721 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A" 8 0 2508 1557 2506 4027 1.23036723275975 0.951058555314253 -0.892279918539401 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A" 5 0 2628 1683 2354 3715 1.21682953092499 0.901907854745333 -0.949651211950967 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A.H" 10 40 2315 687 2466 5231 1.58012943162846 1.96683573394431 -1.0350522640186 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A" 7 0 2301 1449 2570 4128 1.22602584506144 0.936357276986817 -0.928776720373029 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A.H" 9 40 2351 685 2372 5254 1.60155327576816 2.02843342040571 -1.02538093503538 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A" 10 0 2315 1580 2466 3987 1.20421232638478 0.862426504156388 -0.917745187347008 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A.H" 5 40 2628 710 2354 4934 1.62149985811852 2.04874741883822 -1.02769024665547 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A" 6 0 2343 1386 2624 4310 1.25029614279974 1.02124829179176 -0.968017123781428 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
