"ttmt" "ID" "rep" "mercury" "Count.Y0" "Count.Y24" "Count.R0" "Count.R24" "RF_w" "RF_r" "RF_slope" "strain" "host" "host.label" "plasmid" "reference_host" "reference_host_label" "reference_plasmid" "reference"
"4A" "4A.H" 1 40 2440 782 2701 4649 1.48479866464519 1.68092864563991 -1.00571303903707 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A.H" 2 40 2453 603 2618 4784 1.6264845268468 2.00601619669193 -1.01373900894646 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A.H" 3 40 2127 528 3008 5221 1.60551276373242 1.9447850798348 -1.01426500405734 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A" 1 0 2440 1724 2701 3663 1.15313267830597 0.652011276049808 -0.953545371285318 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A" 8 0 2274 1429 2810 4274 1.21347876365752 0.883931169931915 -0.930772066473444 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A" 10 0 2323 1476 2695 4198 1.2159947273058 0.896733744647472 -0.930209287958448 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A.H" 10 40 2323 693 2695 5183 1.54882157864877 1.86357056842711 -1.02190410815972 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A.H" 6 40 2633 822 2380 5161 1.56325223413724 1.93816863592334 -1.03052460358531 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A.H" 7 40 2463 716 2583 5268 1.57813628958018 1.94815450092722 -1.01712479260941 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A.H" 8 40 2274 631 2810 5410 1.58289174921399 1.937054421282 -1.02895447532654 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A" 9 0 2204 1415 2786 4481 1.22065786208017 0.918383720641859 -1.0113199316458 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A" 2 0 2453 1464 2618 3839 1.21984197093813 0.898940598268185 -0.946449786177298 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A" 3 0 2127 1537 3008 3898 1.13645529883699 0.584068266659417 -0.820970584477701 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A" 7 0 2463 1374 2583 4275 1.27041703753736 1.08748651361326 -0.893131217618359 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A" 6 0 2633 1742 2380 3724 1.20533669110633 0.860787873815299 -0.943072443472072 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A" 5 0 2444 1526 2649 4035 1.21571613241022 0.891810199879063 -0.9183165758451 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4B" "4B.H" 10 40 2306 1874 2721 3740 1.1194992135433 0.525525389655968 -0.866942028398377 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B.H" 9 40 2277 1927 2756 3664 1.10176688264767 0.451669491309845 -0.873138851964899 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B" 2 0 2310 2311 2847 3085 1.0173382383216 0.0798530423029096 0.00469467959129579 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B" 4 0 2579 2593 2609 2984 1.02795392026042 0.128883896529604 -0.475491098857391 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B" 5 0 2491 2325 2672 3254 1.05864415130686 0.266021950363171 -0.602086796654711 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B.H" 6 40 2334 2153 2720 3395 1.06683536599477 0.302393196184892 -0.846356943996794 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B.H" 7 40 2366 2027 2643 3536 1.10015116829019 0.445725407239577 -0.857065642633715 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B" 8 0 2659 2616 2276 2873 1.0543142717273 0.249240942398998 -0.712805451976245 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B" 10 0 2306 2339 2721 3088 1.02431389597723 0.112315106606245 -0.175028790361874 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B" 3 0 2285 2394 2800 2897 0.9973035464335 -0.0125432811835582 2.19986248110379 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B" 7 0 2366 2280 2643 3208 1.05051468021973 0.230758376971962 -0.64233579625331 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B" 1 0 2422 2518 2703 2579 0.981517858675236 -0.0858318308863577 -2.77745362821036 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B.H" 8 40 2659 2355 2276 3088 1.09512405313353 0.426513500690946 -0.801467083972156 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B.H" 2 40 2310 2058 2847 3079 1.04317744871468 0.193851947768308 -0.52062663439909 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B.H" 4 40 2579 2223 2609 3359 1.09002783449267 0.401220396392713 -0.751646715024584 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B" 6 0 2334 2423 2720 2850 1.00199548093385 0.00926420600262912 0.899700984934608 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B.H" 1 40 2422 2157 2703 2983 1.04776752704916 0.214442515962182 -0.541145931120053 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B.H" 5 40 2491 2015 2672 3510 1.1103669970715 0.484853822684773 -0.77541155667016 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B" 9 0 2277 2242 2756 3277 1.04110057571745 0.1886384789969 -0.539435130090391 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4B" "4B.H" 3 40 2285 2114 2800 3269 1.05138701337515 0.232648847459037 -0.703542686656031 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"4C" "4C" 2 0 2292 2293 2855 2919 1.00471882351543 0.0217330437407304 0.582577298293554 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C" 3 0 2221 2488 2959 2683 0.955191514897326 -0.211437431939228 -1.77822162932977 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C" 1 0 2577 2533 2574 2664 1.01124450345193 0.0515892041548982 0.117008955334574 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C.H" 6 40 2388 2541 2616 2764 0.99848540283072 -0.00706903649720036 1.31621757264248 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C" 8 0 2497 2404 2609 2982 1.03756846025244 0.17158320481263 -0.346114897334835 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C" 10 0 2332 2451 2724 2968 1.00773739313279 0.0360171009601382 -0.00204596632645469 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C.H" 1 40 2577 2514 2574 2722 1.01760900261292 0.080656616557512 -0.201399817730953 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C.H" 2 40 2292 2403 2855 3001 1.00055466647616 0.00258056544841789 1.08442255551898 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C" 7 0 2490 2271 2524 3241 1.0758012984944 0.342099426833639 -0.631355330625404 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C.H" 9 40 2284 2462 2674 3083 1.014375818419 0.0672819342557638 -0.204883767136898 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C.H" 7 40 2490 2377 2524 3227 1.06408620477371 0.292151490489418 -0.729042449955993 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C.H" 8 40 2497 2324 2609 3130 1.05599943749117 0.253866170705442 -0.550868699051291 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C.H" 4 40 2750 2538 2486 2854 1.04823727963695 0.21827106835241 -0.388051901615221 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C.H" 5 40 2505 2467 2481 3034 1.04717026826259 0.216506073206285 -0.524116750018709 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C.H" 3 40 2221 2493 2959 2768 0.961392247612589 -0.18225559529178 -1.64131518468429 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C" 4 0 2750 2486 2486 3156 1.07538586016367 0.339556328485068 -0.652061646984116 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C" 5 0 2505 2425 2481 2930 1.04347483201264 0.198797928466694 -0.429779649611444 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C" 6 0 2388 2585 2616 2820 0.999107927196759 -0.00417886107496734 1.22631466893763 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C" 9 0 2284 2464 2674 3019 1.0097184675571 0.0454924181674405 -0.0972559707537073 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4C" "4C.H" 10 40 2332 2425 2724 3005 1.01271908278004 0.0590709237987044 0.0251854657953709 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
