ttmt,ID,rep,mercury,Count.Y0,Count.Y24,Count.R0,Count.R24,RF_w,RF_r,strain,host,host.label,plasmid,reference_host,reference_host_label,reference_plasmid,reference
3A,3A,2,0,2646,1522,2271,3793,1.263060785,1.065960806,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A,3,0,2180,1311,2717,3927,1.214049337,0.876882117,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A,4,0,2561,1450,2372,4194,1.282126097,1.138755702,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A,5,0,2628,1683,2354,3715,1.216829531,0.901907855,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A,6,0,2343,1386,2624,4310,1.250296143,1.021248292,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A,7,0,2301,1449,2570,4128,1.226025845,0.936357277,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A,8,0,2508,1557,2506,4027,1.230367233,0.951058555,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A,9,0,2351,1391,2372,4295,1.274127291,1.118535931,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A,10,0,2315,1580,2466,3987,1.204212326,0.862426504,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A.H,1,40,2383,685,2569,4606,1.545051106,1.830539722,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A.H,2,40,2646,771,2271,4811,1.58830628,1.983800671,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A.H,3,40,2180,593,2717,4609,1.554105582,1.83036834,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A.H,4,40,2561,596,2372,5100,1.706462464,2.223419478,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A.H,5,40,2628,710,2354,4934,1.621499858,2.048747419,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A.H,6,40,2343,680,2624,5078,1.563322356,1.897312253,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A.H,7,40,2301,738,2570,5379,1.540871909,1.87575185,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A.H,8,40,2508,744,2506,5216,1.574707933,1.948242835,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A.H,9,40,2351,685,2372,5254,1.601553276,2.02843342,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3A,3A.H,10,40,2315,687,2466,5231,1.580129432,1.966835734,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
3B,3B,1,0,2272,2453,2733,2562,0.969827348,-0.141262968,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B,2,0,2430,2303,2645,2877,1.030266047,0.137755656,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B,3,0,2432,2282,2588,3031,1.048809539,0.221668934,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B,4,0,2363,2337,2613,2990,1.031744661,0.145838344,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B,5,0,2682,2456,2368,2780,1.054998054,0.248433985,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B,6,0,2303,2470,2669,2844,0.99861013,-0.006497888,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B,7,0,2272,2438,2676,2846,0.998090939,-0.008926173,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B,8,0,2827,2674,2212,2615,1.04901773,0.223007614,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B,9,0,2480,2185,2462,3212,1.087654369,0.3925625,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B,10,0,2405,2452,2458,2829,1.026212678,0.121221167,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B.H,1,40,2272,2151,2733,2932,1.027472609,0.125012528,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B.H,2,40,2430,2015,2645,3009,1.071574488,0.316208794,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B.H,3,40,2432,1959,2588,3353,1.108284755,0.475249916,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B.H,4,40,2363,1962,2613,3469,1.106203554,0.469335019,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B.H,5,40,2682,2308,2368,3178,1.099750597,0.444387787,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B.H,6,40,2303,2026,2669,3400,1.082693554,0.370220776,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B.H,7,40,2272,2010,2676,3570,1.091635248,0.410768232,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B.H,8,40,2827,2373,2212,2947,1.104275473,0.461951721,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B.H,9,40,2480,1984,2462,3585,1.136678311,0.598927998,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
3B,3B.H,10,40,2405,1973,2458,3627,1.1332038,0.587052526,SBW25d4242.dTomato pQBR57,SBW25d4242,dTomato,pQBR57,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B,1,0,2422,2518,2703,2579,0.981517859,-0.085831831,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B,2,0,2310,2311,2847,3085,1.017338238,0.079853042,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B,3,0,2285,2394,2800,2897,0.997303546,-0.012543281,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B,4,0,2579,2593,2609,2984,1.02795392,0.128883897,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B,5,0,2491,2325,2672,3254,1.058644151,0.26602195,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B,6,0,2334,2423,2720,2850,1.001995481,0.009264206,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B,7,0,2366,2280,2643,3208,1.05051468,0.230758377,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B,8,0,2659,2616,2276,2873,1.054314272,0.249240942,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B,9,0,2277,2242,2756,3277,1.041100576,0.188638479,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B,10,0,2306,2339,2721,3088,1.024313896,0.112315107,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B.H,1,40,2422,2157,2703,2983,1.047767527,0.214442516,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B.H,2,40,2310,2058,2847,3079,1.043177449,0.193851948,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B.H,3,40,2285,2114,2800,3269,1.051387013,0.232648847,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B.H,4,40,2579,2223,2609,3359,1.090027834,0.401220396,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
